Community_Name,COMM_CODE,Year,Avg_Resident_Count,Total_Crime_Count,Sectors,Distinct_Longitudes,Distinct_Latitudes,crime_rate,ln_crime_rate,Break_Enter_Commercial_num,Break_Enter_Dwelling_num,Break_Enter_Other_num,Assault_Nondomestic_num,Commercial_Robbery_num,Street_Robbery_num,Theft_FROM_Vehicle_num,Theft_OF_Vehicle_num,Violence_Other_Non_domestic_num,SHORTEST_DISTANCE_TO_LRT_METERS,SHORTEST_DISTANCE_TO_POLICE_METERS,age_0_4,age_15_19,age_20_24,age_25_34,age_35_44,age_45_54,age_5_14,age_55_64,age_65_74,age_75_plus,age_0_4_percentage_num,age_15_19_percentage_num,age_20_24_percentage_num,age_25_34_percentage_num,age_35_44_percentage_num,age_45_54_percentage_num,age_5_14_percentage_num,age_55_64_percentage_num,age_65_74_percentage_num,age_75_plus_percentage_num,total_people,total_males,total_females,total_other,male_percentage_num,female_percentage_num,other_percentage_num,Residential_Improvement_Project,Demolition,Single_Construction_Permit,Commercial_Multi_Family_Project,Environmental_Restoration_Permit,TotalPermits,calgary_cer_unemployment_rate_num,alberta_unemployment_rate_num,canada_unemployment_rate_num,calgary_cer_total_employment_000_persons_num,calgary_cer_total_employment_month_over_month_change_000_persons,calgary_cer_total_employment_year_over_year_change_000_persons,calgary_cma_average_hourly_wage_rate_num,city_of_calgary_building_permits_residential_value_num,city_of_calgary_building_permits_non_residential_value_num,calgary_city_total_housing_starts_units_num,calgary_cer_retail_sales_billions_num,calgary_cma_total_housing_starts_units,calgary_cma_inflation_rate_change,CLASS_CODE,COMM_NAME,median
MIDNAPORE,MID,2019,7270,157,SOUTH,-114.057603951459,50.9155935531793,2159.5598349381,7.67765969979097,.1579,.1053,0,.1228,0,.0175,.2105,.1404,.1754,1104.30505371093,833.251647949218,349,349,321,891,938,766,790,1126,1029,696,4.81,4.81,4.42,12.28,12.93,10.56,10.89,15.52,14.18,9.59,7255,3459,3796,0,47.68,52.32,0,30,0,0,19,0,49,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,MIDNAPORE,380000
MISSION,MIS,2019,4598,333,CENTRE,-114.068082590358,51.0331577586192,7242.27925184863,8.88769124962755,.2143,.0893,0,.0893,0,.0179,.2143,.1786,.1071,529.65576171875,1924.6474609375,68,25,281,1829,900,430,58,366,354,283,1.48,.54,6.12,39.81,19.59,9.36,1.26,7.97,7.71,6.16,4594,2202,2273,119,47.93,49.48,2.59,2,2,0,28,0,32,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,MISSION,215500
MILLRISE,MLR,2019,6900,93,SOUTH,-114.084903663845,50.9170452921714,1347.82608695652,7.20624826753813,.1026,.1795,0,.1026,0,.0256,.2821,.1795,.0513,1073.380859375,2121.65161132812,408,354,367,878,1021,1027,817,1012,615,388,5.92,5.14,5.33,12.75,14.83,14.91,11.86,14.69,8.93,5.63,6887,3303,3584,0,47.96,52.04,0,11,0,0,3,0,14,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,MILLRISE,346500
MONTGOMERY,MON,2019,4515,245,NORTHWEST,-114.162248213523,51.0710761430668,5426.35658914729,8.59902320966387,.1447,.0789,0,.1579,.0395,.0263,.1447,.1579,.1053,2770.51782226562,3741.95825195312,287,169,317,1003,786,530,386,523,285,221,6.37,3.75,7.03,22.25,17.44,11.76,8.56,11.6,6.32,4.9,4507,2216,2291,0,49.17,50.83,0,51,14,20,13,0,98,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,MONTGOMERY,458000
MOUNT PLEASANT,MOP,2019,5889,314,CENTRE,-114.076029984471,51.0742379084236,5331.97486839871,8.58147696793391,.1507,.1233,0,.0959,.0137,.0137,.1644,.1507,.1233,1601.45947265625,2325.55737304687,437,212,282,980,1285,838,637,711,328,170,7.43,3.61,4.8,16.67,21.85,14.25,10.83,12.09,5.58,2.89,5880,3022,2839,19,51.39,48.28,.32,62,14,31,7,0,114,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""MOUNT PLEASANT""",627500
MONTEREY PARK,MOR,2019,10372,163,NORTHEAST,-113.926851043817,51.0814543900536,1571.53875819514,7.35981051911844,.0536,.1964,0,.0714,.0179,.0357,.2143,.2143,.0714,3865.30590820312,3814.74731445312,528,675,750,1206,1448,1398,1210,1590,1013,533,5.1,6.52,7.25,11.65,13.99,13.51,11.69,15.36,9.79,5.15,10351,5177,5174,0,50.01,49.99,0,30,1,3,2,0,36,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""MONTEREY PARK""",375500
MARLBOROUGH PARK,MPK,2019,8523,290,NORTHEAST,-113.946717083029,51.0596884953332,3402.55778481755,8.13228271742845,.0921,.0789,0,.1579,.0658,.0658,.1579,.1579,.1184,2450.39013671875,2882.63842773437,553,465,512,1107,1424,1153,1120,1117,706,349,6.5,5.47,6.02,13.01,16.74,13.56,13.17,13.13,8.3,4.1,8506,4387,4113,6,51.58,48.35,.07,58,0,0,11,0,69,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""MARLBOROUGH PARK""",328000
MAPLE RIDGE,MPL,2019,1916,61,SOUTH,-114.0346890274,50.9576375829999,3183.71607515658,8.06580437061273,.1842,.0789,0,.0526,0,0,.2368,.1579,.1053,2814.4072265625,5160.57373046875,76,93,74,182,245,278,181,348,213,222,3.97,4.86,3.87,9.52,12.81,14.54,9.47,18.2,11.14,11.61,1912,955,957,0,49.95,50.05,0,29,0,0,4,0,33,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""MAPLE RIDGE""",509500
MARLBOROUGH,MRL,2019,9162,375,NORTHEAST,-113.969987688408,51.0595422811792,4092.99279633268,8.31703171649395,.0899,.0787,0,.1348,.0899,.1011,.1348,.1348,.1236,829.433410644531,1282.85278320312,610,432,532,1387,1543,1194,1106,1026,806,505,6.67,4.73,5.82,15.17,16.88,13.06,12.1,11.22,8.82,5.52,9141,4806,4335,0,52.58,47.42,0,51,0,0,10,0,61,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,MARLBOROUGH,336500
MARTINDALE,MRT,2019,14245,327,NORTHEAST,-113.958387117131,51.1179137259421,2295.5422955423,7.73872438893547,.0723,.1446,0,.1205,.012,.0843,.1446,.1446,.1325,664.456359863281,1212.28857421875,862,862,1011,2189,2798,1985,2108,1438,793,193,6.05,6.05,7.1,15.37,19.65,13.94,14.8,10.1,5.57,1.36,14239,7479,6721,39,52.52,47.2,.27,102,2,2,7,0,113,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,MARTINDALE,341500
NEW BRIGHTON,NEB,2019,13103,137,SOUTHEAST,-113.94524948138,50.922064015016,1045.5620850187,6.95230990019377,.1017,.1864,0,.1017,.0339,.0339,.2034,.2034,.1356,8864.1923828125,8181.37109375,1290,620,511,2588,2997,1495,2405,745,345,94,9.85,4.74,3.9,19.77,22.9,11.42,18.37,5.69,2.64,.72,13090,6592,6491,7,50.36,49.59,.05,84,0,0,2,0,86,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""NEW BRIGHTON""",437000
NORTH GLENMORE PARK,NGM,2019,2391,64,WEST,-114.112256075446,51.001428372154,2676.704307821,7.89234158087158,.0882,.1471,0,.0294,0,0,.2941,.1765,0,3290.1591796875,2847.74194335937,143,130,124,289,357,318,270,346,208,191,6.02,5.47,5.22,12.16,15.03,13.38,11.36,14.56,8.75,8.04,2376,1205,1171,0,50.72,49.28,0,36,5,7,6,0,54,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""NORTH GLENMORE PARK""",644000
NORTH HAVEN UPPER,NHU,2019,599,6,NORTH,-114.085354303554,51.1044017908706,1001.6694490818,6.90942333608283,0,0,0,0,0,0,.3333,.1667,0,3596.265625,1393.36450195312,26,27,27,65,67,74,57,134,65,53,4.37,4.54,4.54,10.92,11.26,12.44,9.58,22.52,10.92,8.91,595,309,286,0,51.93,48.07,0,5,0,0,0,0,5,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""NORTH HAVEN UPPER""",495000
NORTH HAVEN,NHV,2019,2359,44,NORTH,-114.089420575114,51.0959415515594,1865.19711742264,7.53112201948081,.0645,.1613,0,.1613,0,.0323,.2581,.0645,.129,3088.384765625,766.485168457031,129,92,115,333,308,262,290,341,231,253,5.48,3.91,4.89,14.15,13.08,11.13,12.32,14.49,9.81,10.75,2354,1173,1181,0,49.83,50.17,0,16,1,1,0,0,18,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""NORTH HAVEN""",477000
NOLAN HILL,NOL,2019,7505,64,NORTH,-114.166317203393,51.1752936929649,852.764823451033,6.74848380426234,.0882,.2059,0,0,0,.0294,.2941,.2059,.1765,6593.98681640625,10471.8935546875,772,456,316,1555,1550,921,1232,416,212,48,10.32,6.1,4.23,20.79,20.73,12.32,16.47,5.56,2.83,.64,7478,3728,3750,0,49.85,50.15,0,89,0,64,6,0,159,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""NOLAN HILL""",491500
OAKRIDGE,OAK,2019,5690,90,SOUTH,-114.129613757096,50.9696627989567,1581.7223198594,7.36626960818012,.1,.125,0,.075,.05,.05,.225,.2,.05,3777.55297851562,5089.6015625,305,277,250,548,682,805,705,864,753,495,5.37,4.87,4.4,9.64,12,14.16,12.4,15.2,13.25,8.71,5684,2803,2881,0,49.31,50.69,0,25,0,0,4,0,29,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,OAKRIDGE,504000
OGDEN,OGD,2019,8576,233,SOUTHEAST,-114.012442271098,50.9918783379817,2716.88432835821,7.90724103522535,.1216,.1081,0,.1486,.027,.027,.1622,.1622,.1351,3861.4423828125,4304.75,472,350,430,1385,1375,1119,845,1364,786,430,5.52,4.09,5.03,16.19,16.07,13.08,9.88,15.94,9.19,5.03,8556,4591,3965,0,53.66,46.34,0,50,6,0,10,0,66,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,OGDEN,327000
PALLISER,PAL,2019,3672,81,SOUTH,-114.112158890387,50.9667670311117,2205.88235294118,7.69888286790229,.2105,.0263,0,.1316,0,0,.2895,.1842,.0263,2517.65698242187,4438.82080078125,177,144,183,398,529,415,408,400,445,564,4.83,3.93,5,10.87,14.44,11.33,11.14,10.92,12.15,15.4,3663,1702,1961,0,46.46,53.54,0,23,0,0,2,0,25,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,PALLISER,315000
PANORAMA HILLS,PAN,2019,25710,251,NORTH,-114.088063406263,51.1597110110755,976.273823415014,6.88374310384208,.169,.1549,0,.1127,0,.0423,.169,.1549,.0986,8058.26318359375,6027.68798828125,1542,1808,1511,3021,5027,4024,4343,2442,1395,586,6,7.04,5.88,11.76,19.56,15.66,16.9,9.5,5.43,2.28,25699,12722,12758,219,49.5,49.64,.85,135,1,1,9,0,146,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""PANORAMA HILLS""",466000
PATTERSON,PAT,2019,4202,88,WEST,-114.1771423136,51.0639398763828,2094.24083769634,7.64694639804349,.2558,.186,0,.0465,.0233,.0233,.186,.1395,.1163,2897.75170898437,3387.68627929687,222,169,178,464,653,546,411,670,554,327,5.29,4.03,4.24,11.06,15.57,13.02,9.8,15.98,13.21,7.8,4194,1978,2216,0,47.16,52.84,0,12,0,3,4,0,19,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,PATTERSON,343000
PENBROOKE MEADOWS,PEN,2019,8554,273,EAST,-113.947687206113,51.0458532876399,3191.48936170213,8.06824297136833,.1184,.1184,0,.1316,.0132,.0526,.1579,.1579,.1316,2759.43872070312,3356.74145507812,588,427,460,1192,1504,1154,1134,1092,633,350,6.89,5,5.39,13.97,17.62,13.52,13.29,12.8,7.42,4.1,8534,4486,4042,6,52.57,47.36,.07,28,0,0,3,0,31,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""PENBROOKE MEADOWS""",286500
PINERIDGE,PIN,2019,10022,348,NORTHEAST,-113.946764955772,51.0742597576314,3472.3608062263,8.15258998922503,.0988,.0988,0,.1481,.0617,.0741,.1481,.1481,.1111,2449.28662109375,3144.90185546875,684,530,574,1382,1530,1211,1375,1286,944,488,6.84,5.3,5.74,13.81,15.29,12.11,13.74,12.85,9.44,4.88,10004,5024,4973,7,50.22,49.71,.07,41,0,0,4,1,46,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,PINERIDGE,315500
PARKDALE,PKD,2019,2566,80,CENTRE,-114.135333256893,51.0599475506456,3117.69290724864,8.04484855446853,.1667,.0952,0,.0952,0,0,.2381,.0952,.119,2011.68957519531,2597.32153320312,161,56,114,450,422,273,203,421,254,203,6.3,2.19,4.46,17.6,16.5,10.68,7.94,16.46,9.93,7.94,2557,1278,1279,0,49.98,50.02,0,11,8,7,2,0,28,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,PARKDALE,663500
PARKHILL,PKH,2019,1691,118,CENTRE,-114.065534524712,51.0181922901508,6978.11945594323,8.85053474053731,.1875,.1667,0,.0417,.0208,0,.2292,.1667,.0625,298.737701416015,2323.7705078125,84,78,110,389,262,248,120,206,133,57,4.98,4.62,6.52,23.06,15.53,14.7,7.11,12.21,7.88,3.38,1687,846,841,0,50.15,49.85,0,8,1,2,11,0,22,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""PARKHILL/STANLEY PARK""",571500
PARKLAND,PKL,2019,3660,41,SOUTH,-114.028543356888,50.9212004010918,1120.21857923497,7.02127910527912,0,.1538,0,.0769,0,.0385,.3462,.1154,.0385,2927.96337890625,2701.90161132812,134,212,160,194,433,540,453,610,605,308,3.67,5.81,4.38,5.32,11.87,14.8,12.41,16.72,16.58,8.44,3649,1819,1830,0,49.85,50.15,0,32,1,1,1,0,35,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,PARKLAND,554000
POINT MCKAY,POI,2019,1343,26,CENTRE,-114.146148682183,51.0595411660325,1935.96425912137,7.56836080646847,.0556,.2222,0,.1111,.0556,0,.2778,.2222,.0556,2257.1982421875,2411.00463867187,46,18,42,231,178,148,47,258,228,144,3.43,1.34,3.13,17.24,13.28,11.04,3.51,19.25,17.01,10.75,1340,617,723,0,46.04,53.96,0,7,0,0,3,0,10,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""POINT MCKAY""", 
PUMP HILL,PUM,2019,1640,34,SOUTH,-114.10078728035,50.9668277013785,2073.17073170732,7.63683446876815,.12,.32,0,.08,0,0,.28,.12,.08,1735.8212890625,3976.74682617187,42,69,55,85,117,185,169,205,345,366,2.56,4.21,3.36,5.19,7.14,11.29,10.32,12.52,21.06,22.34,1638,747,891,0,45.6,54.4,0,8,0,0,3,0,11,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""PUMP HILL""",861750
QUEENSLAND,QLD,2019,4743,65,SOUTH,-114.022571706061,50.9382241204127,1370.44064937803,7.22288760898828,.0769,.0513,0,.1795,.0769,.0256,.2308,.1795,.0769,3290.3740234375,4354.19384765625,254,237,231,763,735,614,517,719,423,231,5.38,5.02,4.89,16.15,15.56,13,10.94,15.22,8.95,4.89,4724,2401,2323,0,50.83,49.17,0,22,0,0,1,0,23,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,QUEENSLAND,364500
QUEENS PARK VILLAGE,QPK,2019,455,10,CENTRE,-114.077606750038,51.0851444582479,2197.8021978022,7.69521313901332,0,.1,0,.2,0,.1,.3,.3,0,2628.64404296875,1417.36254882812,49,23,54,119,67,41,51,34,7,0,11.01,5.17,12.13,26.74,15.06,9.21,11.46,7.64,1.57,0,445,218,227,0,48.99,51.01,0, , , , , , ,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""QUEENS PARK VILLAGE""",2930000
RAMSAY,RAM,2019,2158,85,CENTRE,-114.042532290792,51.0364120636758,3938.83225208526,8.27863957564247,.0682,.1136,0,.0909,0,0,.2273,.1818,.1591,1051.62573242187,690.7490234375,142,73,70,468,464,316,170,256,136,49,6.62,3.4,3.26,21.83,21.64,14.74,7.93,11.94,6.34,2.29,2144,1123,1021,0,52.38,47.62,0,22,5,6,11,0,44,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,RAMSAY,516750
RANCHLANDS,RAN,2019,7607,104,NORTHWEST,-114.183646981345,51.1191790823361,1367.1618246352,7.2204922091143,.0417,.1458,0,.2292,0,0,.25,.1458,.1042,1641.81604003906,6899.0244140625,476,360,464,1334,1348,858,969,949,596,244,6.26,4.74,6.11,17.56,17.74,11.29,12.75,12.49,7.84,3.21,7598,3783,3815,0,49.79,50.21,0,29,0,0,4,0,33,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,RANCHLANDS,352500
ROSSCARROCK,RCK,2019,3625,216,WEST,-114.145485909296,51.0432878713752,5958.62068965517,8.69259430536562,.1282,.0513,0,.1538,.0641,.1026,.141,.141,.141,724.991638183593,710.264587402343,227,181,278,769,681,443,368,378,180,114,6.27,5,7.68,21.25,18.82,12.24,10.17,10.44,4.97,3.15,3619,1775,1844,0,49.05,50.95,0,34,8,9,6,0,57,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,ROSSCARROCK,542000
ROSEDALE,RDL,2019,1560,37,CENTRE,-114.078207134146,51.0626866632269,2371.79487179487,7.77140227737087,.08,.04,0,.08,0,0,.36,.16,0,835.090454101562,3434.74951171875,65,105,62,142,213,220,200,288,187,67,4.2,6.78,4,9.17,13.75,14.2,12.91,18.59,12.07,4.33,1549,781,768,0,50.42,49.58,0,20,7,15,3,0,45,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,ROSEDALE,986000
RED CARPET,RED,2019,1594,38,EAST,-113.9389258246,51.0425806265798,2383.93977415307,7.77650976534645,.1429,.0714,0,.0714,0,0,.3571,.3214,0,3474.68237304687,4071.27978515625,94,32,58,210,203,271,89,317,200,115,5.92,2.01,3.65,13.22,12.78,17.05,5.6,19.95,12.59,7.24,1589,826,763,0,51.98,48.02,0,0,10,0,6,0,16,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""RED CARPET/MOUNTVIEW MOBILE PARK""",142500
RENFREW,REN,2019,6582,307,CENTRE,-114.039168993344,51.0596531576767,4664.23579459131,8.44767928305414,.1429,.1143,0,.1143,.0286,.0286,.1714,.1714,.0857,1181.78955078125,3229.345703125,415,189,278,1608,1446,867,591,706,313,160,6.31,2.88,4.23,24.46,22,13.19,8.99,10.74,4.76,2.43,6573,3235,3338,0,49.22,50.78,0,92,11,32,10,0,145,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,RENFREW,428000
RICHMOND,RIC,2019,4962,203,CENTRE,-114.118420289295,51.0297102948269,4091.09230149133,8.31656727976027,.1846,.1077,0,.0769,.0154,.0308,.1846,.1692,.0462,1408.83264160156,2489.89599609375,318,172,220,934,1099,677,497,556,328,145,6.43,3.48,4.45,18.88,22.22,13.69,10.05,11.24,6.63,2.93,4946,2525,2409,12,51.05,48.71,.24,42,17,22,11,0,92,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,RICHMOND,652000
RIDEAU PARK,RID,2019,594,33,CENTRE,-114.074161830747,51.0248757691379,5555.55555555556,8.62255370707406,.2273,.0455,0,.0455,0,0,.4091,.0455,0,1216.763671875,2549.4296875,26,23,19,53,67,79,49,103,130,44,4.38,3.88,3.2,8.94,11.3,13.32,8.26,17.37,21.92,7.42,593,288,305,0,48.57,51.43,0,3,0,1,3,0,7,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""RIDEAU PARK""",377000
RIVERBEND,RIV,2019,9244,128,SOUTHEAST,-114.018430291898,50.9760188590708,1384.68195586326,7.23322575749557,.0889,.1778,0,.0444,.0444,.0222,.2667,.2444,.0222,3915.53149414062,4455.21728515625,444,533,595,1153,1273,1407,814,1855,834,325,4.81,5.77,6.44,12.49,13.79,15.24,8.82,20.09,9.03,3.52,9233,4657,4576,0,50.44,49.56,0,51,0,0,5,0,56,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,RIVERBEND,420000
ROSEMONT,RMT,2019,1254,27,CENTRE,-114.090033075552,51.0783941975216,2153.11004784689,7.67466860978169,.15,.15,0,0,0,0,.45,.15,0,1609.56823730468,1614.64697265625,41,27,82,251,185,158,150,180,90,87,3.28,2.16,6.55,20.06,14.79,12.63,11.99,14.39,7.19,6.95,1251,628,623,0,50.2,49.8,0,14,1,1,2,0,18,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,ROSEMONT,620000
ROCKY RIDGE,ROC,2019,8398,65,NORTHWEST,-114.245907918015,51.1440764789595,773.993808049536,6.65156387362173,.2571,.2,0,.0286,0,0,.2571,.1714,.0571,1519.86694335937,12167.251953125,408,560,433,961,1341,1371,1186,943,670,511,4.87,6.68,5.16,11.46,15.99,16.35,14.15,11.25,7.99,6.09,8384,4072,4312,0,48.57,51.43,0,36,0,10,3,0,49,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""ROCKY RIDGE""",395500
ROXBORO,ROX,2019,422,14,CENTRE,-114.067644802756,51.0261958523158,3317.5355450237,8.10697748054947,0,.1111,0,0,0,0,.4444,.2222,0,881.329223632812,2070.482421875,25,27,20,20,56,61,62,82,43,26,5.92,6.4,4.74,4.74,13.27,14.45,14.69,19.43,10.19,6.16,422,226,196,0,53.55,46.45,0,1,2,2,1,0,6,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,ROXBORO,1230000
ROYAL OAK,ROY,2019,11706,110,NORTHWEST,-114.219761873878,51.1426607309129,939.689048351273,6.84554902091148,.1373,.2157,0,.0588,0,.0588,.2157,.1961,.098,1430.98498535156,10388.0009765625,644,768,614,1329,2044,1988,1987,1302,749,263,5.51,6.57,5.25,11.37,17.49,17.01,17,11.14,6.41,2.25,11688,5698,5990,0,48.75,51.25,0,49,1,0,14,0,64,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""ROYAL OAK""",448500
REDSTONE,RSN,2019,5848,70,NORTHEAST,-113.957502827169,51.1704461682524,1196.99042407661,7.08756570558997,.2105,.1842,0,.1053,0,0,.2632,.2105,0,5016.90673828125,5193.21923828125,511,367,272,1098,1268,543,861,448,409,47,8.77,6.3,4.67,18.85,21.77,9.32,14.78,7.69,7.02,.81,5824,2941,2883,0,50.5,49.5,0,182,0,177,21,0,380,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,REDSTONE,372750
RUNDLE,RUN,2019,11688,375,NORTHEAST,-113.970058118649,51.0742399736668,3208.41889117043,8.0735335375101,.0854,.0854,0,.1463,.0488,.1098,.1463,.1463,.122,835.116516113281,1794.10656738281,800,740,863,1726,1888,1370,1615,1288,957,432,6.85,6.34,7.39,14.78,16.17,11.73,13.83,11.03,8.19,3.7,11679,5975,5696,8,51.16,48.77,.07,42,0,0,3,0,45,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,RUNDLE,350000
RUTLAND PARK,RUT,2019,2263,55,WEST,-114.137360585426,51.0189909868283,2430.40212107821,7.79581200456916,.1176,.0882,0,.1471,.0588,0,.2059,.1471,.0588,2046.32885742187,2195.85278320312,121,91,114,247,351,298,229,253,283,272,5.36,4.03,5.05,10.93,15.54,13.19,10.14,11.2,12.53,12.04,2259,1091,1168,0,48.3,51.7,0,11,2,1,1,0,15,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""RUTLAND PARK""",584750
SADDLE RIDGE,SAD,2019,22321,358,NORTHEAST,-113.945622522669,51.1305732421339,1603.87079431925,7.38017523301192,.1348,.1348,0,.1348,0,.1124,.1348,.1348,.1236,569.213989257812,684.863403320312,1618,1533,1633,4040,4021,2485,3767,1685,1133,388,7.25,6.87,7.32,18.11,18.03,11.14,16.89,7.56,5.08,1.74,22303,11203,11078,22,50.23,49.67,.1,208,4,217,36,1,466,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""SADDLE RIDGE""",384000
SANDSTONE VALLEY,SAN,2019,5904,60,NORTH,-114.094962509765,51.1377328448926,1016.26016260163,6.92388466091202,.0476,.1667,0,.0952,.0952,.0238,.2381,.2143,.0476,5968.2451171875,4999.7216796875,252,283,328,644,749,779,650,1179,687,336,4.28,4.81,5.57,10.94,12.72,13.23,11.04,20.03,11.67,5.71,5887,2908,2972,7,49.4,50.48,.12,29,0,1,1,0,31,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""SANDSTONE VALLEY""",423500
SCARBORO,SCA,2019,931,48,CENTRE,-114.107179771398,51.0407655266167,5155.74650912997,8.54786719860105,.12,.24,0,.08,0,0,.32,.04,0,720.825439453125,3107.41650390625,50,55,35,75,124,159,164,151,77,39,5.38,5.92,3.77,8.07,13.35,17.12,17.65,16.25,8.29,4.2,929,481,448,0,51.78,48.22,0,7,3,2,3,0,15,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,SCARBORO,1000000
SCENIC ACRES,SCE,2019,8067,84,NORTHWEST,-114.217340956875,51.1127075075922,1041.27928597992,6.94820531887657,.0256,.2308,0,.0769,0,.0256,.2564,.1795,.1026,1314.46362304687,8851.4375,311,507,548,677,881,1105,793,1678,942,607,3.86,6.3,6.81,8.41,10.95,13.73,9.85,20.85,11.7,7.54,8049,3974,4067,8,49.37,50.53,.1,36,0,0,2,0,38,.0725,.068,.057,895.35,-.5,29.65,33.05,207946399.7,147266654.325,765,2.77734425264248,886,.0142,1,"""SCENIC ACRES""",525000
